Date,Value
2014-07-30,4145810.97858
2014-07-29,2815216.59368
2014-07-28,5624067.34767
2014-07-27,2257131.11307
2014-07-26,2386789.84206
2014-07-25,3341942.56411
2014-07-24,6237962.00411
2014-07-23,1821393.43707
2014-07-22,2102604.17487
2014-07-21,2279965.49295
2014-07-20,1011690.67083
2014-07-19,1920723.95666
2014-07-18,2412825.5353
2014-07-17,4091992.92579
2014-07-16,2671748.78221
2014-07-15,2130092.22307
2014-07-14,2119002.35713
2014-07-13,2537902.19703
2014-07-12,3241515.39792
2014-07-11,3164691.20355
2014-07-10,3861342.39076
2014-07-09,1504875.44234
2014-07-08,1898911.71562
2014-07-07,4154806.79247
2014-07-06,2033092.69148
2014-07-05,1483175.51813
2014-07-04,5984390.056
2014-07-03,2873518.20482
2014-07-02,4473747.88999
2014-07-01,7233282.59393
2014-06-30,7341093.03142
2014-06-29,986521.497695
2014-06-28,3682753.6602
2014-06-27,4008598.56359
2014-06-26,3089629.11109
2014-06-25,5713137.18193
2014-06-24,2312887.33764
2014-06-23,2906661.94415
2014-06-22,2470475.72685
2014-06-21,2181393.92394
2014-06-20,4531653.29796
2014-06-19,1828068.31575
2014-06-18,5370642.47576
2014-06-17,3078078.83339
2014-06-16,8714228.15506
2014-06-15,3812291.51055
2014-06-14,8696987.11546
2014-06-13,20999116.4711
2014-06-12,5290172.33935
2014-06-11,4917376.85601
2014-06-10,4358768.8156
2014-06-09,3773083.5432
2014-06-08,1650470.75985
2014-06-07,5282829.0175
2014-06-06,3423735.08983
2014-06-05,7171685.02365
2014-06-04,11331619.528
2014-06-03,15062190.4919
2014-06-02,13128228.4851
2014-06-01,9828012.8575
2014-05-31,8690735.14155
2014-05-30,10417485.6296
2014-05-29,5341070.01597
2014-05-28,5211005.77788
2014-05-27,11110797.8591
2014-05-26,6905630.69135
2014-05-25,11020114.3446
2014-05-24,4227327.36092
2014-05-23,9905039.89549
2014-05-22,8273162.57552
2014-05-21,5867533.83487
2014-05-20,11431636.3559
2014-05-19,1830522.70062
2014-05-18,1040708.52633
2014-05-17,1210724.5628
2014-05-16,1673318.64424
2014-05-15,2812034.16881
2014-05-14,2580421.61955
2014-05-13,2631621.40245
2014-05-12,2146397.56703
2014-05-11,4017454.8715
2014-05-10,1987268.04243
2014-05-09,3479164.12754
2014-05-08,3672052.53392
2014-05-07,4859661.74835
2014-05-06,3589800.16927
2014-05-05,3702307.56465
2014-05-04,2183121.32116
2014-05-03,3330775.1949
2014-05-02,3482262.37966
2014-05-01,4875835.14374
2014-04-30,6613111.09721
2014-04-29,5867459.59143
2014-04-28,7435225.80719
2014-04-27,3004849.99037
2014-04-26,5488431.2551
2014-04-25,14864619.0544
2014-04-24,2950180.15545
2014-04-23,3387938.33633
2014-04-22,3319630.72023
2014-04-21,4077741.38323
2014-04-20,3517855.74162
2014-04-19,4766233.24969
2014-04-18,5910268.09861
2014-04-17,10999219.5818
2014-04-16,17293604.9893
2014-04-15,14255961.1123
2014-04-14,14248632.2169
2014-04-13,3924022.19855
2014-04-12,5630343.87206
2014-04-11,23034954.2046
2014-04-10,14696324.8165
2014-04-09,3635252.10153
2014-04-08,2590340.95081
2014-04-07,3185471.98925
2014-04-06,2858575.74569
2014-04-05,2413207.41084
2014-04-04,7827738.07648
2014-04-03,13651170.1497
2014-04-02,13183696.263
2014-04-01,11933723.0391
2014-03-31,9899400.51464
2014-03-30,11680078.817
2014-03-29,6383424.66542
